Server_ID,Timestamp,Server_Type,Operating_System,CPU_Usage,Memory_Usage,Disk_Usage,Disk_IO,Network_In_Mbps,Network_Out_Mbps,Network_Latency_ms,Response_Time_ms,Active_Connections,Request_Count,Error_Count,Process_Count,Uptime_Hours,Temperature_C,Day_of_Week,Hour,Performance_Issue
SRV-097,01-01-2026 01:30,Database,Linux,64.8,69.63,58.54,58.46,1441.77,1010.41,24.91,370.22,661,7284,15,246,652.11,59.83,Thursday,1,0
SRV-013,01-01-2026 02:30,Application,Linux,49.27,47.69,65.46,63.03,1211.31,1021.13,25.44,219.61,454,6787,7,165,1454.45,51.17,Thursday,2,0
SRV-041,01-01-2026 03:30,Database,Linux,60.88,41.95,51.33,64.58,1509.37,1220.39,25.1,304.11,660,7507,8,281,1263.6,54.77,Thursday,3,0
SRV-073,01-01-2026 04:00,API,Linux,59.67,53.88,52.92,89.8,1489.91,1082.84,27.97,280.13,684,7170,8,274,606.29,58.92,Thursday,4,0
SRV-025,01-01-2026 04:00,File,Linux,62.16,40.06,43.66,40.24,1263.97,875.24,12.9,233.3,840,5989,7,203,924.44,55.36,Thursday,4,0
SRV-044,01-01-2026 04:00,Database,Linux,64.69,70.75,55.79,86.84,1462.07,1017.07,21.77,330.18,923,7362,8,260,1107.5,62.09,Thursday,4,0
SRV-097,01-01-2026 05:30,Database,Linux,52.75,65.28,31.77,82.42,1493.46,1099.76,19.96,261.8,552,7455,12,227,489.9,56.85,Thursday,5,0
SRV-046,01-01-2026 07:00,File,Linux,62.12,53.89,49.15,48.25,1186.16,891.09,20.1,255.28,668,5916,8,280,1061.42,54.23,Thursday,7,0
SRV-066,01-01-2026 08:00,Application,Linux,56.59,51.72,51.43,44.17,1391.73,1054.66,27.75,287.03,667,6883,5,281,552.7,43.51,Thursday,8,0
SRV-060,01-01-2026 09:30,Web,Windows Server,89.69,61.89,31.83,82.41,1979.18,1475.68,38.99,372.39,1052,10303,11,294,717.63,60.15,Thursday,9,0
SRV-044,01-01-2026 10:00,Database,Linux,80.93,68.82,51.5,87.25,2072.59,1608.59,27.16,416.63,1051,10963,12,290,281.78,57.94,Thursday,10,0
SRV-076,01-01-2026 10:30,Web,Linux,99.0,64.07,58.0,99.0,2065.76,1523.75,28.9,302.16,691,10367,17,315,880.58,65.09,Thursday,10,1
SRV-015,01-01-2026 11:30,Database,Linux,76.11,78.4,45.98,95.17,2131.39,1670.96,27.99,320.15,1269,10992,4,229,279.68,62.99,Thursday,11,0
SRV-083,01-01-2026 13:00,File,Linux,54.95,73.71,62.86,70.16,1679.4,1119.19,24.5,277.15,787,8309,7,218,610.34,51.58,Thursday,13,0
SRV-016,01-01-2026 13:30,Web,Windows Server,85.05,58.67,68.44,99.0,2013.75,1538.36,23.61,351.86,1093,10544,8,310,406.97,57.93,Thursday,13,0
SRV-073,01-01-2026 15:30,API,Linux,97.28,79.3,54.51,83.13,2091.57,1579.63,19.79,358.53,753,10740,12,341,799.67,65.34,Thursday,15,0
SRV-080,01-01-2026 15:30,File,Windows Server,72.91,61.89,67.17,60.45,1607.71,1238.45,25.81,315.93,894,8217,7,206,1174.0,62.43,Thursday,15,0
SRV-093,01-01-2026 16:00,Database,Linux,90.46,70.27,64.76,92.19,2163.22,1628.4,20.48,323.06,1223,10980,17,305,2152.35,60.62,Thursday,16,0
SRV-078,01-01-2026 17:00,Application,Windows Server,77.6,73.73,59.51,85.01,1905.4,1465.32,17.12,252.46,606,9969,10,274,862.0,59.03,Thursday,17,0
